id,title,link,type,kind,action,target,notes,decision
"1858","הדחליל השמאלני","https://avinerpedia.vercel.app/content/1858","article","תוכן קיים במקור","fill_from_source","","במקור 4564 תווים: == הדחליל השמאלני == [הרב שלמה אבינר] '''שאלה:''' לבי לבי על אחיי השמאלנים החילוניים. איני…",""
"2389","הפרדה בבית כנסת (שו""ת)","https://avinerpedia.vercel.app/content/2389","qa","תוכן קיים במקור","fill_from_source","","במקור 1997 תווים: [מקורות: הרב מרדכי ציון] == הפרדה בבית-המקדש == '''ש: האם גם בבית-המקדש הייתה הפרדה בין גב…",""
"3682","כפירה (שו""ת)","https://avinerpedia.vercel.app/content/3682","qa","תוכן קיים במקור","fill_from_source","","במקור 1166 תווים: {{שות|כותרת=שפינוזה|שאלה=האם מותר לקרוא בספרי שפינוזה?|תשובה=ודאי לא. מלאה כפירה. רמב""ם ע""…",""
"4625","מלמדים ותלמידים (שו""ת)","https://avinerpedia.vercel.app/content/4625","qa","תוכן קיים במקור","fill_from_source","","במקור 5964 תווים: {{שות|כותרת=סליחה מתלמידים|שאלה=אני עומד לסיים עבודתי בבית הספר וייתכן שפגעתי בתלמידים. הא…",""
"4938","מרן הרב קוק (שו""ת)","https://avinerpedia.vercel.app/content/4938","qa","תוכן קיים במקור","fill_from_source","","במקור 24499 תווים: {{שות|כותרת=חסיד או ליטאי|שאלה=האם הרב קוק היה חסיד או ליטאי?|תשובה=מרן הרב קוק היה כולל ה…",""
"5671","""עשה שבתך חול?"" (שו""ת)","https://avinerpedia.vercel.app/content/5671","qa","תוכן קיים במקור","fill_from_source","","במקור 4840 תווים: [מקורות ע""י הרב מרדכי ציון] '''עשה שבתך חול''' ש: למה נפסק עשה שבתך חול במזון של חול ואל ת…",""
"6964","""שונות - ברכות (שו""ת)","https://avinerpedia.vercel.app/content/6964","qa","תוכן קיים במקור","fill_from_source","","במקור 6750 תווים: [מקורות ע""י הרב מרדכי ציון] '''ברכות על קרבנות''' ש: איזו ברכה מברכים על הקרבת קרבן? ת: אי…",""
"7311","שמונה עשרה (שו""ת)","https://avinerpedia.vercel.app/content/7311","qa","תוכן קיים במקור","fill_from_source","","במקור 31916 תווים: מקורות: הרב מרדכי ציון '''תפילת עמידה קצרה''' ש: כאשר מחוסר זמן מתחילים מיד חזרת הש""ץ, האם…",""
"7662","תספורת וגילוח (שו""ת)","https://avinerpedia.vercel.app/content/7662","qa","תוכן קיים במקור","fill_from_source","","במקור 21512 תווים: {{שות|כותרת=שער ארוך|שאלה=מותר לבן לגדל שער ארוך?|תשובה=לא. א. חציצה בתפילין וברכה לבטלה. …",""
"567","אישור קישור ליוטיוב","https://avinerpedia.vercel.app/content/567","article","דף ריק / ניסיון / דף ניווט","hide","","במקור רק קישור אימות של Google (google…html), לא תוכן",""
